raman_shift_cm-1,mean_intensity,std_dev
549.0,0.15672567875282098,0.040164185337392834
550.0,0.11557479133239354,0.04109005910897556
551.0,0.09366653455577673,0.041817732140990924
552.0,0.08353525205084619,0.044470036600887365
553.0,0.08157292700541666,0.04276597092355623
554.0,0.08206518132435647,0.03926581537501845
555.0,0.08275920281466986,0.040906163260450434
556.0,0.0827493255421256,0.04619955793917788
557.0,0.0850513595662024,0.04971896910269466
558.0,0.0832721492568387,0.04954154904392578
559.0,0.07608756705066505,0.04664341360763259
560.0,0.07000083290312555,0.043723875428488795
561.0,0.06671479862909117,0.043490844643921514
562.0,0.06310417845010213,0.04237328306904832
563.0,0.06003694520844575,0.03835109378728838
564.0,0.05721247469377734,0.03647204682497871
565.0,0.05717138231079255,0.03472392867416228
566.0,0.06339175083668837,0.034567160363902075
567.0,0.07265289361249994,0.037639505528112537
568.0,0.07919163635480193,0.041775234544156305
569.0,0.08662265686967739,0.04420324820396663
570.0,0.09795248360795071,0.04676433383884202
571.0,0.108261981156427,0.05003860000466763
572.0,0.11367640807836342,0.05130342811989949
573.0,0.11543260131893832,0.04955169024239251
574.0,0.11510294506187765,0.04566170404858167
575.0,0.11684732057307148,0.041446092931529364
576.0,0.12227878335529005,0.03874415281826054
577.0,0.13213272988351676,0.03837803210528208
578.0,0.1493540944417658,0.03827626222746808
579.0,0.17604435364423596,0.038170596700751985
580.0,0.21083824986075986,0.0416229874838152
581.0,0.2476871640082879,0.04873671759850399
582.0,0.28136484735639267,0.05205015156782828
583.0,0.3113013813326731,0.049397288521413334
584.0,0.33335809238506137,0.043966443295914336
585.0,0.34476070198673153,0.04007130663299528
586.0,0.3417541034136871,0.038984542051068785
587.0,0.32291601963731065,0.03686849302015827
588.0,0.292501422337477,0.03560282403477877
589.0,0.25516082293692544,0.03779121204266329
590.0,0.21386845200969748,0.03882626875464941
591.0,0.17047932896847798,0.03786199008379928
592.0,0.13050814817766174,0.03681492078176231
593.0,0.10086020941094628,0.03706429612667207
594.0,0.08195922504219502,0.03843098432832129
595.0,0.06997892012856208,0.03821455912316328
596.0,0.05953565090329359,0.03708330928506443
597.0,0.05022362975568624,0.036534280912058126
598.0,0.044039328564179456,0.03753689270573178
599.0,0.0398861222558336,0.037173367868872736
600.0,0.03711721590083299,0.03576071495707036
601.0,0.03801095268472269,0.035290030355220305
602.0,0.041280994672736056,0.034526684315639725
603.0,0.04639656172212628,0.03366772560657315
604.0,0.05705026689660333,0.03494660498744469
605.0,0.07033557623386309,0.035739689337218786
606.0,0.08432624518608603,0.03507716670188105
607.0,0.09956551206579303,0.0358475583271784
608.0,0.11437140240857356,0.036876141942402074
609.0,0.12851748586344458,0.036481721096929876
610.0,0.14282591617259602,0.035601657065728945
611.0,0.15663583321489435,0.03439059099911742
612.0,0.1667364828499168,0.033080577647661716
613.0,0.17354820427528234,0.03209713560531202
614.0,0.18027424049863378,0.032195178454806773
615.0,0.18641770087058096,0.03314328302826166
616.0,0.18812895522644668,0.03502295787392466
617.0,0.18340848646867675,0.03747783168589711
618.0,0.17167559950335606,0.03809733718928763
619.0,0.15474113285196286,0.03632531337121053
620.0,0.13156126184898034,0.03410511227731143
621.0,0.10651931496052741,0.0359306938995014
622.0,0.0888463147403507,0.040075604619571194
623.0,0.07778530485435405,0.044325438159979316
624.0,0.07147255158333157,0.047494841913764026
625.0,0.06995051108475986,0.05008817090318354
626.0,0.07028343362943533,0.05066529619337153
627.0,0.07073060894496377,0.04798480681135118
628.0,0.07027093047280909,0.044583614707314756
629.0,0.06796430161077466,0.04251497358031291
630.0,0.06206559483619596,0.04233128473675222
631.0,0.057493406426785694,0.04167010877771343
632.0,0.05901080453811896,0.04190622067619384
633.0,0.062192175199303965,0.04488187371200923
634.0,0.06926651191585753,0.046798762826052005
635.0,0.08065390389021947,0.04751402087457153
636.0,0.09381634677292236,0.04911622462439115
637.0,0.1093547374570013,0.0500104329087438
638.0,0.12792507218723437,0.04977345418934143
639.0,0.14858288728615585,0.047624052138878235
640.0,0.1694422606141352,0.04519000470182053
641.0,0.1888315303097728,0.04377292103177419
642.0,0.20624015519320088,0.04381888511470047
643.0,0.22476534354949493,0.04426186099501146
644.0,0.24321599801830593,0.04273431940176186
645.0,0.25752527930846975,0.04035830265236248
646.0,0.264106896969019,0.03862193724200228
647.0,0.26343401054847415,0.0364281490020086
648.0,0.25356974383476244,0.03517993090471054
649.0,0.23510955194536992,0.03563383846623654
650.0,0.20938309737415797,0.035605795589112935
651.0,0.18140893371532552,0.03508192733764589
652.0,0.15657848975637242,0.03424542248678902
653.0,0.13709734695180217,0.033035726665673865
654.0,0.12010166609499529,0.03278421320379103
655.0,0.10358324583957526,0.033147767278222474
656.0,0.08814808802893516,0.033886195124727694
657.0,0.07371928142966892,0.03673774351875481
658.0,0.061006782393644154,0.04139059649169253
659.0,0.05281564917793384,0.043685284972588126
660.0,0.0479943279259909,0.042389053678477964
661.0,0.04830968970839094,0.04113843050946879
662.0,0.05255070683284936,0.0370064541877676
663.0,0.05829921503976895,0.03382450721035754
664.0,0.06598458375846097,0.035792005065558755
665.0,0.07036362519976985,0.03728862719284055
666.0,0.0710475274925136,0.03647378659009636
667.0,0.0721867266477185,0.035312941449004064
668.0,0.07694113782418026,0.03465508393386125
669.0,0.08589648153435175,0.035371986260750686
670.0,0.09519999941382484,0.03875739815312938
671.0,0.1021742688113016,0.04193534025835098
672.0,0.10832177703532743,0.04201079958042815
673.0,0.11606546641625876,0.040916618295788326
674.0,0.12499053852939472,0.04019202487884385
675.0,0.13015108001205025,0.039814728854729114
676.0,0.13168460754159902,0.03853760039924465
677.0,0.13188412750372988,0.036275308467313125
678.0,0.1293715433068948,0.03439718481875566
679.0,0.12292839541869097,0.03596576539851084
680.0,0.11132946804204004,0.040642515929516086
681.0,0.09767094390018001,0.04380984514538745
682.0,0.08621579913440461,0.0430929048247336
683.0,0.07752526937148264,0.041739532734194965
684.0,0.07111012615123144,0.04131971093445068
685.0,0.06675180293367484,0.04119338188467832
686.0,0.06503624261263907,0.0423745522217158
687.0,0.06448835798574112,0.045818535096812225
688.0,0.06410197998002119,0.05000001864254354
689.0,0.06281648569041101,0.05270766155305224
690.0,0.0601004659664099,0.04978512135986743
691.0,0.06006570516911082,0.04517461809099691
692.0,0.06309738004634775,0.04326724552411404
693.0,0.07019258298763842,0.04313220346820949
694.0,0.08059260541110697,0.04090997393894768
695.0,0.08700293837767549,0.036962598450492476
696.0,0.0954148840899034,0.03481966209966671
697.0,0.112549652432205,0.03506465295613708
698.0,0.13448267723030685,0.03457806903784254
699.0,0.15761609824450226,0.03226629989528302
700.0,0.1823888089542914,0.030699409767680524
701.0,0.20780509151102405,0.032877152447111486
702.0,0.23099901986330418,0.035394116031983065
703.0,0.24768614348450826,0.035361431923320925
704.0,0.2519004915097403,0.033592096999987164
705.0,0.23901348962474886,0.031286772102749535
706.0,0.218470291946901,0.02984609121262967
707.0,0.19255557687765068,0.028547874500031253
708.0,0.16030676859063503,0.02737660626280486
709.0,0.12670403164177763,0.0286453729886514
710.0,0.09976051711115555,0.033243887066330365
711.0,0.08052335257350952,0.036938342752779636
712.0,0.06724990690221713,0.037011143092171406
713.0,0.058216127718543266,0.03536549999657219
714.0,0.0541650066775705,0.0330082911762246
715.0,0.052861525847414756,0.03148631594452833
716.0,0.05045938290245818,0.030872220701169836
717.0,0.046376347358046056,0.03234576908591841
718.0,0.0433793133684946,0.03639417616275882
719.0,0.04089726225001692,0.038986380577065896
720.0,0.04067079545887063,0.039220624050857474
721.0,0.04273046854340287,0.03772172550110916
722.0,0.04503898455946992,0.03563120559626357
723.0,0.04835071814813048,0.03462801052624122
724.0,0.0539982721062737,0.03615850178446856
725.0,0.05913453121524899,0.036970121397220425
726.0,0.06226398159922036,0.036050703481253485
727.0,0.06468008419304662,0.034614155896523655
