RamanShift,Residual
789.0,0.5362327495678416
790.0,0.5193910230726735
791.0,0.5366658408208815
792.0,0.5555570544486746
793.0,0.5739211884736343
794.0,0.5615124183783156
795.0,0.5478832015010014
796.0,0.5399808897867848
797.0,0.5505073492697774
798.0,0.5772462717413667
799.0,0.6022948016393848
800.0,0.6260983972125229
801.0,0.6498321942661139
802.0,0.6548652581539285
803.0,0.6381577218097155
804.0,0.6449715882350617
805.0,0.6555035718399318
806.0,0.6324018288347597
807.0,0.6117561504923567
808.0,0.5956506311890125
809.0,0.5402526098373124
810.0,0.47215856798996003
811.0,0.5271131967628225
812.0,0.5413175675826558
813.0,0.4764574362987917
814.0,0.48493649750292767
815.0,0.531968912918575
816.0,0.5231280662842368
817.0,0.4982924794804527
818.0,0.4447534488765651
819.0,0.4304752805143122
820.0,0.4418992487015382
821.0,0.4198601137753813
822.0,0.3946993419660211
823.0,0.36858194141200173
824.0,0.3646511396824051
825.0,0.38038543065960334
826.0,0.29645225132425923
827.0,0.22429639949944807
828.0,0.25642371992256957
829.0,0.25797347837380435
830.0,0.23122532366725443
831.0,0.23582693873642657
832.0,0.24600588622902161
833.0,0.25440739196355017
834.0,0.24385588785529286
835.0,0.21326578500506196
836.0,0.2583715982002425
837.0,0.30752737296583726
838.0,0.2655483595985455
839.0,0.24048521719551091
840.0,0.23574300585006355
841.0,0.23102629882934964
842.0,0.22932234100572246
843.0,0.25122371956495215
844.0,0.26790887945132985
845.0,0.2777821970697334
846.0,0.28639327474994863
847.0,0.2935016971981488
848.0,0.2949954466900795
849.0,0.32745715825540583
850.0,0.40335251680833717
851.0,0.4107804723854426
852.0,0.3957859225011485
853.0,0.44052175544036914
854.0,0.44750306941580015
855.0,0.39880250678672063
856.0,0.4078164651980243
857.0,0.43830683625516875
858.0,0.47811988683339296
859.0,0.5076959580616296
860.0,0.5279370533018444
861.0,0.5145421336900852
862.0,0.49268891026931666
863.0,0.4460114040793536
864.0,0.4300824191990049
865.0,0.46082748189795514
866.0,0.4138031045681731
867.0,0.3478010872179788
868.0,0.41658070059742347
869.0,0.43930892712713565
870.0,0.3984114686022132
871.0,0.38716880677234566
872.0,0.3888766739135059
873.0,0.4185663663927681
874.0,0.3987128001065218
875.0,0.3081740831313016
876.0,0.2933771406913802
877.0,0.2975230306877953
878.0,0.23485660291152172
879.0,0.24224850646492302
880.0,0.3433428906591027
881.0,0.33909490128476716
882.0,0.30103416741098965
883.0,0.24711210541255968
884.0,0.22277823408923045
885.0,0.23377186385017282
886.0,0.22294124836284476
887.0,0.20757245967671134
