RamanShift,y_exp,LTA_fit
282.0,0.007209998653317486,0.17885441342765399
283.0,0.023162714355733402,0.18737102826563218
284.0,0.06632276483623403,0.18203343559986077
285.0,0.05300267177333333,0.17232083003816812
286.0,0.009826310701423091,0.1626082244764755
287.0,0.0,0.15289561891478287
288.0,0.0,0.14876180700884606
289.0,0.008543824433487397,0.14538873969233052
290.0,0.018504420116570053,0.142015672375815
291.0,0.06220716069538758,0.13864260505929946
292.0,0.10232775371035592,0.13527379073880416
293.0,0.118761072500287,0.13204248995629628
294.0,0.13234237986319689,0.1288111891737884
295.0,0.1374774868968396,0.1272307241439358
296.0,0.1408587875010863,0.137756387966888
297.0,0.14130718960397182,0.1482820517898402
298.0,0.10598608081381419,0.15880771561279236
299.0,0.03441966133041825,0.16933337943574456
300.0,0.055063692753178774,0.17985904325869675
301.0,0.1322494722892945,0.19210674840057318
302.0,0.1531824443770451,0.20837254995327265
303.0,0.15473908329043692,0.2359375048071564
304.0,0.15030071543504764,0.2835898433075888
305.0,0.14495393539009935,0.33124218180802123
306.0,0.10445767939079333,0.37889452030845355
307.0,0.07923233249412519,0.42654685880888604
308.0,0.16787713783839858,0.47419919730931837
309.0,0.22851383601300185,0.5218515358097509
310.0,0.20353398274829965,0.5707947268260434
311.0,0.19603510205240382,0.5686827480114452
312.0,0.2178033899903867,0.5318847886290989
313.0,0.2185952634847375,0.4950868292467527
314.0,0.19858524289322282,0.4582888698644063
315.0,0.19691481501957087,0.42149091048205994
316.0,0.20597169993176662,0.3846929510997137
317.0,0.1983944515585312,0.3478949917173674
318.0,0.1855788660299275,0.31109703233502106
319.0,0.23643918392655763,0.33491650461354117
320.0,0.293522997493241,0.3702821543512712
321.0,0.2793215839755218,0.4056478040890013
322.0,0.2646522158156444,0.44101345382673135
323.0,0.2474006815578275,0.47637910356446134
324.0,0.23046599289298744,0.5117447533021915
325.0,0.2143230725174556,0.5471104030399216
326.0,0.22526325184527898,0.5771046452768824
327.0,0.2737748746893601,0.545305178136879
328.0,0.2528007799624447,0.5133234784958326
329.0,0.17558719308439025,0.4813417788547862
330.0,0.1846114444826767,0.4493600792137399
331.0,0.23289443705820084,0.4173783795726935
332.0,0.22636831729403692,0.3853966799316471
333.0,0.20800353000103772,0.3534149802906008
