Dataset,RamanShift,Intensity,Intensity_norm
Glycerol-Phosphate,1420.8,2.453275697,0.04164448849493703
Glycerol-Phosphate,1429.44,0.964711698,0.016376033585389634
Glycerol-Phosphate,1438.08,1.349450695,0.02290699900183794
Glycerol-Phosphate,1446.72,5.039528859,0.08554627669656838
Glycerol-Phosphate,1455.36,13.5238947,0.2295688486742833
Glycerol-Phosphate,1464.0,2.900838418,0.049241890045948776
Glycerol-Phosphate,1472.6399999999999,3.118944328,0.052944249740287185
Glycerol-Phosphate,1481.28,4.950075725,0.08402780487774487
Glycerol-Phosphate,1489.9199999999998,0.955187324,0.016214356818302467
Glycerol-Phosphate,1498.56,0.413162029,0.007013447931790007
Glycerol-Phosphate,1507.2,0.243194139,0.00412823374723286
Glycerol-Phosphate,1515.84,0.164859251,0.0027984947594552542
Glycerol-Phosphate,1524.48,0.11754823,0.00199538760271476
Glycerol-Phosphate,1533.12,0.09038515,0.0015342928411556174
Glycerol-Phosphate,1541.76,0.066648682,0.001131365004816137
Glycerol-Phosphate,1550.3999999999999,0.050772107,0.0008618592799866683
Glycerol-Phosphate,1559.04,0.041920079,0.0007115956228470931
Glycerol-Phosphate,1567.6799999999998,0.035229534,0.0005980232572878224
Glycerol-Phosphate,1576.32,0.028871936,0.0004901026851767481
Glycerol-Phosphate,1584.96,0.024883388,0.00042239686576940567
Glycerol-Phosphate,1593.6,0.021674116,0.0003679192988801416
Glycerol-Phosphate,1602.24,0.019052178,0.00032341175861103896
Glycerol-Phosphate,1610.8799999999999,0.006179292,0.00010489381805540156
Glycerol-Phosphate,1619.52,0.005447023,9.246351192104006e-05
Glycerol-Phosphate,1628.1599999999999,0.00483758,8.21181838224265e-05
Glycerol-Phosphate,1636.8,0.0,0.0
Glycerol-Phosphate,1645.4399999999998,0.0,0.0
Glycerol-Phosphate,1654.08,0.0,0.0
Glycerol-Phosphate,1662.72,0.0,0.0
Glycerol-Phosphate,1671.36,0.0,0.0
Glycerol-Phosphate,1680.0,0.0,0.0
Glycerol-Phosphate,1688.6399999999999,0.0,0.0
Glycerol-Phosphate,1697.28,0.0,0.0
Glycerol-Phosphate,1705.9199999999998,0.0,0.0
Glycerol-Phosphate,1714.56,0.0,0.0
Glycerol-Phosphate,1723.2,0.0,0.0
Glycerol-Phosphate,1731.84,0.0,0.0
Glycerol-Phosphate,1740.48,0.0,0.0
Glycerol-Phosphate,1749.12,0.0,0.0
Glycerol-Phosphate,1757.76,0.0,0.0
Glycerol-Phosphate,1766.3999999999999,0.0,0.0
Glycerol-Phosphate,1775.04,0.0,0.0
Glycerol-Phosphate,1783.6799999999998,0.0,0.0
Glycerol-Phosphate,1792.32,0.0,0.0
Glycerol-Phosphate,1800.96,0.0,0.0
Glycerol-Phosphate,1809.6,0.0,0.0
Glycerol-Phosphate,1818.24,0.0,0.0
Glycerol-Phosphate,1826.8799999999999,0.0,0.0
Glycerol-Phosphate,1835.52,0.0,0.0
Glycerol-Phosphate,1844.1599999999999,0.0,0.0
Glycerol-Phosphate,1852.8,0.0,0.0
Glycerol-Phosphate,1861.4399999999998,0.0,0.0
Glycerol-Phosphate,1870.08,0.0,0.0
Glycerol-Phosphate,1878.72,0.0,0.0
Glycerol-Phosphate,1887.36,0.0,0.0
Glycerol-Phosphate,1896.0,0.0,0.0
Glycerol-Phosphate,1904.6399999999999,0.0,0.0
Glycerol-Phosphate,1913.28,0.0,0.0
Glycerol-Phosphate,1921.9199999999998,0.0,0.0
Glycerol-Phosphate,1930.56,0.0,0.0
Glycerol-Phosphate,1939.1999999999998,0.0,0.0
Glycerol-Phosphate,1947.84,0.0,0.0
Glycerol-Phosphate,1956.48,0.0,0.0
Glycerol-Phosphate,1965.12,0.0,0.0
Glycerol-Phosphate,1973.76,0.0,0.0
Glycerol-Phosphate,1982.3999999999999,0.0,0.0
Glycerol-Phosphate,1991.04,0.0,0.0
Glycerol-Phosphate,1999.6799999999998,0.0,0.0
Glycerol-Phosphate,2008.32,0.0,0.0
Glycerol-Phosphate,2016.96,0.0,0.0
Glycerol-Phosphate,2025.6,0.0,0.0
Glycerol-Phosphate,2034.24,0.0,0.0
Glycerol-Phosphate,2042.8799999999999,0.0,0.0
Glycerol-Phosphate,2051.52,0.0,0.0
Glycerol-Phosphate,2060.16,0.0,0.0
Glycerol-Phosphate,2068.7999999999997,0.0,0.0
Glycerol-Phosphate,2077.44,0.0,0.0
Glycerol-Phosphate,2086.08,0.0,0.0
Glycerol-Phosphate,2094.72,0.0,0.0
Glycerol-Phosphate,2103.36,0.0,0.0
Glycerol-Phosphate,2112.0,0.0,0.0
Glycerol-Phosphate,2120.64,0.0,0.0
Glycerol-Phosphate,2129.2799999999997,0.0,0.0
Glycerol-Phosphate,2137.92,0.0,0.0
Glycerol-Phosphate,2146.56,0.0,0.0
Glycerol-Phosphate,2155.2,0.0,0.0
Glycerol-Phosphate,2163.84,0.0,0.0
Glycerol-Phosphate,2172.48,0.0,0.0
Glycerol-Phosphate,2181.12,0.0,0.0
Glycerol-Phosphate,2189.7599999999998,0.0,0.0
Glycerol-Phosphate,2198.4,0.0,0.0
Glycerol-Phosphate,2207.04,0.0,0.0
Glycerol-Phosphate,2215.68,0.0,0.0
Glycerol-Phosphate,2224.3199999999997,0.0,0.0
Glycerol-Phosphate,2232.96,0.0,0.0
Glycerol-Phosphate,2241.6,0.0,0.0
Glycerol-Phosphate,2250.24,0.0,0.0
Glycerol-Phosphate,2258.88,0.0,0.0
Glycerol-Phosphate,2267.52,0.0,0.0
Glycerol-Phosphate,2276.16,0.0,0.0
Glycerol-Phosphate,2284.7999999999997,0.0,0.0
Glycerol-Phosphate,2293.44,0.0,0.0
Glycerol-Phosphate,2302.08,0.0,0.0
Glycerol-Phosphate,2310.72,0.0,0.0
Glycerol-Phosphate,2319.36,0.0,0.0
Glycerol-Phosphate,2328.0,0.0,0.0
Glycerol-Phosphate,2336.64,0.0,0.0
Glycerol-Phosphate,2345.2799999999997,0.0,0.0
Glycerol-Phosphate,2353.92,0.0,0.0
Glycerol-Phosphate,2362.56,0.0,0.0
Glycerol-Phosphate,2371.2,0.0,0.0
Glycerol-Phosphate,2379.8399999999997,0.0,0.0
Glycerol-Phosphate,2388.48,0.0,0.0
Glycerol-Phosphate,2397.12,0.0,0.0
Glycerol-Phosphate,2405.7599999999998,0.0,0.0
Glycerol-Phosphate,2414.4,0.0,0.0
Glycerol-Phosphate,2423.04,0.0,0.0
Glycerol-Phosphate,2431.68,0.0,0.0
Glycerol-Phosphate,2440.3199999999997,0.0,0.0
Glycerol-Phosphate,2448.96,0.0,0.0
Glycerol-Phosphate,2457.6,0.0,0.0
Glycerol-Phosphate,2466.24,0.025955187,0.0004405907121352938
Glycerol-Phosphate,2474.88,0.029296274,0.0004973058458246011
Glycerol-Phosphate,2483.52,0.033326377,0.0005657170636188933
Glycerol-Phosphate,2492.16,0.038248774,0.0006492750206331362
Glycerol-Phosphate,2500.7999999999997,0.044347602,0.0007528029579086669
Glycerol-Phosphate,2509.44,0.052029739,0.0008832076516429439
Glycerol-Phosphate,2518.08,0.061894367,0.0010506602489010473
Glycerol-Phosphate,2526.72,0.074853215,0.0012706373990858265
Glycerol-Phosphate,2535.36,0.092348566,0.0015676219346296052
Glycerol-Phosphate,2544.0,0.116771468,0.0019822020254835256
Glycerol-Phosphate,2552.64,0.152321266,0.0025856617816041746
Glycerol-Phosphate,2561.2799999999997,0.206930273,0.003512652647943579
Glycerol-Phosphate,2569.92,0.297074559,0.005042856809588324
