raman_shift_cm1,intensity_norm
904.0,0.20347687905615788
904.5,0.2078001521155712
905.0,0.20865902651964116
905.5,0.20600298849284138
906.0,0.20018813118296605
906.5,0.19188192482263988
907.0,0.1819028640321858
907.5,0.1710605228123662
908.0,0.16004369261489285
908.5,0.14937017006206732
909.0,0.13938589037366275
909.5,0.13029202876696952
910.0,0.122181653969149
910.5,0.11507466441192477
911.0,0.10894608957893714
911.5,0.10374682362917756
912.0,0.09941775383726624
912.5,0.0958988343389123
913.0,0.09313460057970702
913.5,0.09107733024357018
914.0,0.0896887352576135
914.5,0.08894079649339003
915.0,0.08881614647721081
915.5,0.0893082589412156
916.0,0.0904216029087616
916.5,0.09217184836765882
917.0,0.0945861573665791
917.5,0.09770354710530908
918.0,0.10157525933140486
918.5,0.1062650012575539
919.0,0.1118488230773506
919.5,0.11841424833986001
920.0,0.12605805503567813
920.5,0.1348817966223218
921.0,0.14498374430978764
921.5,0.15644545416500916
922.0,0.16931073733495963
922.5,0.18355474728689908
923.0,0.19904181110259922
923.5,0.21547351828807057
924.0,0.23233459532407336
924.5,0.24885360161788003
925.0,0.26400602880696356
925.5,0.2765914196205266
926.0,0.2854019633313304
926.5,0.28946098067674353
927.0,0.2882592468072298
927.5,0.2818919887994625
928.0,0.2710318444054049
928.5,0.2567509621656402
929.0,0.24027371310472884
929.5,0.22275456397563587
930.0,0.2051380498694469
930.5,0.18810780000012792
931.0,0.17210010202642181
931.5,0.15735026971483695
932.0,0.14394730401513786
932.5,0.13188309844612398
933.0,0.1210909330746409
933.5,0.11147292946804797
934.0,0.10291828018080856
934.5,0.09531458328280683
935.0,0.08855438511636894
935.5,0.08253857011731015
936.0,0.07717777291297674
936.5,0.07239261036717749
