filepath,filename,sec,power,replicate,snr,fwhm,max_intensity,score,n_peaks
.\Int_20sec_Power5-80_Ta_2\sec-20_power-40_i-2.xlsx,sec-20_power-40_i-2.xlsx,20,40,1,32.67287276846595,25.223110264144296,1.0,16.54833023859345,74
.\All_Excel_Files\sec-20_power-40_i-2_1.xlsx,sec-20_power-40_i-2_1.xlsx,20,40,1,32.67287276846595,25.223110264144296,1.0,16.54833023859345,74
.\All_Excel_Files\sec-20_power-40_i-2.xlsx,sec-20_power-40_i-2.xlsx,20,40,1,32.67287276846595,25.223110264144296,1.0,16.54833023859345,74
.\Int_20sec_Power5-80_Ta_2\good peaks\sec-20_power-40_i-2.xlsx,sec-20_power-40_i-2.xlsx,20,40,1,32.67287276846595,25.223110264144296,1.0,16.54833023859345,74
.\Int_15sec_Power5-80_Ta_2\sec-15_power-35_i-2.xlsx,sec-15_power-35_i-2.xlsx,15,35,1,32.17682553263489,10.939312656546667,1.0,16.315836792800543,88
.\All_Excel_Files\sec-15_power-35_i-2.xlsx,sec-15_power-35_i-2.xlsx,15,35,1,32.17682553263489,10.939312656546667,1.0,16.315836792800543,88
.\All_Excel_Files\sec-20_power-70_i-2.xlsx,sec-20_power-70_i-2.xlsx,20,70,1,31.350181457855655,26.469458685329446,1.0,15.886424545896523,56
.\Int_20sec_Power5-80_Ta_2\sec-20_power-70_i-2.xlsx,sec-20_power-70_i-2.xlsx,20,70,1,31.350181457855655,26.469458685329446,1.0,15.886424545896523,56
.\Int_20sec_Power5-80_Ta_2\sec-20_power-60_i-2.xlsx,sec-20_power-60_i-2.xlsx,20,60,1,31.219588738793334,29.010608995967686,1.0,15.820135413944945,58
.\All_Excel_Files\sec-20_power-60_i-2.xlsx,sec-20_power-60_i-2.xlsx,20,60,1,31.219588738793334,29.010608995967686,1.0,15.820135413944945,58
.\All_Excel_Files\sec-10_power-75_i-2.xlsx,sec-10_power-75_i-2.xlsx,10,75,1,30.039239278598586,28.43371625724742,1.0,15.230170493689405,71
.\Int_10sec_Power5-80_Ta_2\sec-10_power-75_i-2.xlsx,sec-10_power-75_i-2.xlsx,10,75,1,30.039239278598586,28.43371625724742,1.0,15.230170493689405,71
.\Int_25sec_Power5-80_Ta_2\sec-25_power-10_i-2.xlsx,sec-25_power-10_i-2.xlsx,25,10,1,28.861584299596643,26.68642938626342,1.0,14.642033818575277,82
.\All_Excel_Files\sec-25_power-10_i-2.xlsx,sec-25_power-10_i-2.xlsx,25,10,1,28.861584299596643,26.68642938626342,1.0,14.642033818575277,82
.\All_Excel_Files\sec-15_power-30_i-2.xlsx,sec-15_power-30_i-2.xlsx,15,30,1,28.52645259404491,10.567426659921255,1.0,14.491615422365316,77
.\Int_15sec_Power5-80_Ta_2\sec-15_power-30_i-2.xlsx,sec-15_power-30_i-2.xlsx,15,30,1,28.52645259404491,10.567426659921255,1.0,14.491615422365316,77
