raman_shift_cm-1,intensity_norm
555.0,0.5482976487668259
556.0,0.5592362051580925
557.0,0.5355137879371742
558.0,0.4898225329455968
559.0,0.43896691754638145
560.0,0.39477694256998075
561.0,0.36270186358143225
562.0,0.3442981816760108
563.0,0.33965146315252437
564.0,0.3486821652688306
565.0,0.3715174745005603
566.0,0.408104361285494
567.0,0.45697948277035083
568.0,0.5132705169528492
569.0,0.5673266092417368
570.0,0.6071058167540372
571.0,0.6245616374639846
572.0,0.6187164651875525
573.0,0.5918132493030407
574.0,0.5471705959812372
575.0,0.491709496428225
576.0,0.4353123432054488
577.0,0.38625296211303906
578.0,0.3485743514811172
579.0,0.32246542031345654
580.0,0.30523373361758843
581.0,0.29191586800775216
582.0,0.2766478136026845
583.0,0.25565947110629256
584.0,0.22952708696919305
585.0,0.20179051827388053
586.0,0.17584231437445338
587.0,0.15342419224015189
588.0,0.13487912036848712
589.0,0.11985267720204418
590.0,0.10778042345983757
591.0,0.09811453397424537
592.0,0.09039979192086976
593.0,0.08428444947764917
594.0,0.07950919505907261
595.0,0.07589221454629648
596.0,0.0733167508398305
597.0,0.0717229720451571
598.0,0.07110435407361128
599.0,0.0715082130175234
600.0,0.07303941457641688
601.0,0.07586458764337389
602.0,0.08020953431192815
603.0,0.08633149926339745
604.0,0.09442611111541659
605.0,0.10440058509284347
606.0,0.11546252767100505
607.0,0.12569654678581543
608.0,0.13231077752784884
609.0,0.13321722042041761
610.0,0.12882525499484535
611.0,0.12177117246895845
612.0,0.11497279550230664
613.0,0.11034034375166746
614.0,0.10874568242532023
615.0,0.11042250094406589
616.0,0.11518439697978584
617.0,0.12232971888324212
618.0,0.13042028650370813
619.0,0.1374827609200325
620.0,0.1421380468948191
621.0,0.14485778103457161
622.0,0.14767844597647428
623.0,0.15256939682385354
624.0,0.16004362560714758
625.0,0.16854899088115385
626.0,0.1747327833309889
627.0,0.1752248316536977
628.0,0.16930539413694393
629.0,0.15956814877930856
630.0,0.14978529620386702
631.0,0.142805665950596
632.0,0.14014777085651015
633.0,0.14252846655124268
634.0,0.15038673619181495
635.0,0.16408135836856716
636.0,0.18368665526977043
637.0,0.20827362455533568
638.0,0.2346636447760718
639.0,0.25645184006096167
640.0,0.265503584850279
641.0,0.25703056597656904
642.0,0.2336366458260366
643.0,0.20291157608169533
644.0,0.17190063197409178
645.0,0.144449834231846
646.0,0.12170875950758486
647.0,0.10343692201589824
648.0,0.08891492690295584
649.0,0.0773763171505474
650.0,0.06816052972103137
651.0,0.06074292548834743
652.0,0.05472107535118426
653.0,0.04979041285597592
654.0,0.0457210547668146
655.0,0.042338987679647784
656.0,0.039511743420694335
657.0,0.03713779413845048
658.0,0.035138790577011206
659.0,0.03345389839399229
660.0,0.03203566029920946
661.0,0.030846963938633065
662.0,0.029858813698214304
663.0,0.029048691836505932
664.0,0.02839935730074272
665.0,0.027897975749727008
666.0,0.02753550693971273
667.0,0.027306299671615394
668.0,0.027207862864277302
669.0,0.027240796197373768
670.0,0.027408876888985956
671.0,0.027719312036781796
672.0,0.028183180029904487
673.0,0.028816101471395166
674.0,0.029639201856453214
675.0,0.030680457554766623
676.0,0.03197655689801647
677.0,0.03357546375059957
678.0,0.03553994673677453
679.0,0.03795243681879885
680.0,0.040921695243951284
681.0,0.04459188476811992
682.0,0.049154642647678146
683.0,0.05486437693258954
684.0,0.06205552087279644
685.0,0.07115610097589364
686.0,0.08268070373378236
687.0,0.09716025573451066
688.0,0.11491806773270553
