raman_shift_cm-1,mean_intensity,std_dev
453.0,0.3349591070926729,0.03589787754605111
454.0,0.4190747064625102,0.034179916264270215
455.0,0.5043371001937949,0.031828537161120156
456.0,0.575606001158053,0.02712243427458254
457.0,0.6211560123804944,0.02305848967927626
458.0,0.6338022582708028,0.023191059729964988
459.0,0.6064057816497832,0.02558857246423334
460.0,0.5414291433724251,0.02747144288335079
461.0,0.45045704922386876,0.02869823109090911
462.0,0.35325591171660775,0.029295442266431108
463.0,0.26300226357110007,0.030898460748356896
464.0,0.19266578008942978,0.03236020075719074
465.0,0.13892580415913236,0.032114950472365685
466.0,0.10208466810581512,0.02982489709826827
467.0,0.08279425207161949,0.028283123653885703
468.0,0.07512302176812904,0.028917425096176785
469.0,0.06861015442901118,0.030577781104511176
470.0,0.06320441273752886,0.031057505872650923
471.0,0.06000770595671825,0.02944423925518284
472.0,0.054091079222398315,0.028488230756283733
473.0,0.04787601167758044,0.029317135399841633
474.0,0.04666693937382826,0.029460472332812817
475.0,0.050780479140738716,0.027770912528720312
476.0,0.06019399258904137,0.025130459561389786
477.0,0.07389298243909037,0.023424462339217748
478.0,0.08669378958767975,0.02126569650213878
479.0,0.10330318705776402,0.020206998615855756
480.0,0.13066826714418306,0.02023103192941864
481.0,0.16694555778443973,0.01912631435397185
482.0,0.20665356490965459,0.01642841342974538
483.0,0.25632966784638467,0.014670785301708792
484.0,0.31390391577601623,0.015052406952182898
485.0,0.37455920530513,0.01714234183193624
486.0,0.42515155417361633,0.020651123432352755
487.0,0.4559319046665296,0.022406573878674337
488.0,0.4616627219552515,0.02366511193229587
489.0,0.4457208707540735,0.027116335047577277
490.0,0.4088031955442579,0.029878140292768217
491.0,0.3559720306137151,0.029169823208022087
492.0,0.2974777999921963,0.02865104795611603
493.0,0.24416632381813072,0.028012515213820154
494.0,0.19635163690882507,0.025585740621840446
495.0,0.1613480632421714,0.022699420797114726
496.0,0.1361368478336761,0.020354152783187522
497.0,0.11888082257536331,0.020621911600260223
498.0,0.10729059599038422,0.018583639582838526
499.0,0.09573405803902639,0.016435419029927713
500.0,0.08215562884299683,0.01666697799465414
501.0,0.0750533340977981,0.01650421624752194
502.0,0.07292605285962367,0.0163993026118709
503.0,0.06641049986741517,0.016370250209250498
504.0,0.05645089642164577,0.01714605555848353
505.0,0.04867539596205074,0.016801413066071563
506.0,0.04265531468587769,0.01558044768298229
507.0,0.03609841566663664,0.014212231583326951
508.0,0.025186031668456357,0.012654984650527817
509.0,0.010357034845520847,0.011732016338722251
510.0,0.004020541341642188,0.011785933232272897
511.0,0.011930929768751672,0.015105534789580714
