frequency_raw_cm-1,activity_raw
2029.0,0.0
2038.0,0.0
2047.0,0.0
2056.0,0.0
2065.0,0.0
2074.0,0.0
2083.0,0.0
2092.0,0.0
2101.0,0.0
2110.0,0.0
2119.0,0.0
2128.0,0.0
2137.0,0.0
2146.0,0.0
2155.0,0.0
2164.0,0.0
2173.0,0.0
2182.0,0.0
2191.0,0.0
2200.0,0.0
2209.0,0.0
2218.0,0.0
2227.0,0.0
2236.0,0.0
2245.0,0.0
2254.0,0.0
2263.0,0.0
2272.0,0.0
2281.0,0.0
2290.0,0.0
2299.0,0.0
2308.0,0.0
2317.0,0.0
2326.0,0.0
2335.0,0.0
2344.0,0.0
2353.0,0.0
2362.0,0.0
2371.0,0.0
2380.0,0.0
2389.0,0.0
2398.0,0.0
2407.0,0.0
2416.0,0.0
2425.0,0.0
2434.0,0.0
2443.0,0.0
2452.0,0.0
2461.0,0.0
2470.0,0.0
2479.0,0.0
2488.0,0.0
2497.0,0.0
2506.0,0.0
2515.0,0.0
2524.0,0.0
2533.0,0.0
2542.0,0.0
2551.0,0.0
2560.0,0.0
2569.0,0.0
2578.0,0.0
2587.0,0.0
2596.0,0.0
2605.0,0.0
2614.0,0.0
2623.0,0.0
2632.0,0.0
2641.0,0.0
2650.0,0.0
2659.0,0.0
2668.0,0.0
2677.0,0.0
2686.0,0.0
2695.0,0.0
2704.0,0.0
2713.0,0.0
2722.0,0.0
2731.0,0.0
2740.0,0.0
2749.0,0.0
2758.0,0.0
2767.0,0.0
2776.0,0.0
2785.0,0.0
2794.0,0.0
2803.0,0.0
2812.0,0.0
2821.0,0.0
2830.0,0.0
2839.0,0.0
2848.0,0.0
2857.0,0.0332153158
2866.0,0.0384471509
2875.0,0.0726328999
2884.0,0.0998030312
2893.0,0.1143002718
2902.0,0.134339139
2911.0,0.1608551354
2920.0,0.1906910977
2929.0,0.2287112186
2938.0,0.2797646846
2947.0,0.3521352101
2956.0,0.4603573101
2965.0,0.6171396154
2974.0,0.875982442
2983.0,1.3563681652
2992.0,2.4378636191
3001.0,5.9860646481
3010.0,30.9568033304
3019.0,25.7361828736
3028.0,39.4532290615
3037.0,25.9603857005
3046.0,17.1512546148
3055.0,7.9175987747
3064.0,4.9017050235
3073.0,5.9722645453
3082.0,1.9170498782
3091.0,1.5051503445
3100.0,3.1514634286
3109.0,10.7207027671
3118.0,2.323156318
3127.0,0.8140463544
3136.0,0.4621678268
3145.0,0.317903317
3154.0,0.2402688784
3163.0,0.1916491947
3172.0,0.1561324304
3181.0,0.1047604154
3190.0,0.070646506
3199.0,0.0514855647
3208.0,0.0286376337
3217.0,0.0222980595
3226.0,0.0192053883
3235.0,0.0125147067
3244.0,0.0107140945
3253.0,0.0094215898
3262.0,0.0082005425
3271.0,0.0
3280.0,0.0
3289.0,0.0
3298.0,0.0
3307.0,0.0
3316.0,0.0
3325.0,0.0
3334.0,0.0
3343.0,0.0
3352.0,0.0
3361.0,0.0
3370.0,0.0
3379.0,0.0
3388.0,0.0
3397.0,0.0
3406.0,0.0
3415.0,0.0
3424.0,0.0
3433.0,0.0
3442.0,0.0
3451.0,0.0
3460.0,0.0
3469.0,0.0
3478.0,0.0
3487.0,0.0
3496.0,0.0
3505.0,0.0
3514.0,0.0
3523.0,0.0
3532.0,0.0082955106
3541.0,0.0093692963
3550.0,0.0106658401
3559.0,0.0122512801
3568.0,0.0142182434
3577.0,0.0166996699
3586.0,0.0198918425
3595.0,0.024094354
3604.0,0.0297828872
3613.0,0.0377495931
3622.0,0.0493935232
3631.0,0.0673764503
3640.0,0.0972801733
3649.0,0.1524765161
3658.0,0.2718587188
3667.0,0.6099161767
3676.0,2.2626886989
3685.0,11.6919711573
3694.0,1.7534642395
3703.0,0.5273525547
3712.0,0.2460978839
3721.0,0.1414071711
3730.0,0.0915639846
3739.0,0.0640530204
3748.0,0.0472947361
3757.0,0.0363409965
3766.0,0.028792343
3775.0,0.0233715987
3784.0,0.0193484648
3793.0,0.0162809192
3802.0,0.0138887549
3811.0,0.0119873908
3820.0,0.0104512343
3829.0,0.0091924301
3838.0,0.0081480309
3847.0,0.0
3856.0,0.0
3865.0,0.0
3874.0,0.0
3883.0,0.0
3892.0,0.0
3901.0,0.0
3910.0,0.0
3919.0,0.0
3928.0,0.0
3937.0,0.0
3946.0,0.0
3955.0,0.0
3964.0,0.0
3973.0,0.0
3982.0,0.0
3991.0,0.0
