frequency_scaled_cm-1,raman_activity,stick_intensity_normalized
1074.337,4.4780176847,0.12437955837538538
1083.04,0.8326526551,0.02312741414025217
1091.743,0.4865977736,0.01351553755439633
1100.446,0.7391053873,0.02052908410329355
1109.149,3.6932162678,0.10258124034285214
1117.8519999999999,1.9410760173,0.053914520844729585
1126.555,2.807944869,0.07799230984324418
1135.258,0.8932660233,0.024810985867563407
1143.961,0.3094902717,0.008596273178430492
1152.664,0.1842918239,0.005118813118401505
1161.367,0.1414220169,0.003928079173666039
1170.07,0.1357993198,0.0037719054755214303
1178.773,0.2428663272,0.006745754181498185
1187.4759999999999,0.192023378,0.005333561552245133
1196.1789999999999,0.2245445362,0.006236855728280311
1204.882,0.2166147262,0.0060166006209432825
1213.585,0.1853616596,0.005148528430235771
1222.288,0.3578336388,0.009939038453972268
1230.991,0.243023355,0.006750115720418272
1239.694,0.3453664197,0.009592754156988511
1248.397,0.9207044556,0.025573104361120796
1257.1,0.7086356904,0.019682770463844906
1265.8029999999999,1.067278589,0.029644286581735044
1274.5059999999999,1.9846915859,0.055125968753766325
1283.209,5.980762488,0.16611917356805767
1291.912,30.0276924598,0.8340367077920605
1300.615,8.6173725454,0.23935255888227433
1309.318,2.9275489917,0.08131438425401062
1318.021,1.2653400877,0.03514556046540961
1326.724,0.6297784004,0.01749246314585655
1335.427,0.458346026,0.012730828753038333
1344.1299999999999,0.3524618836,0.009789834813763457
1352.8329999999999,0.3030862032,0.008418396432977426
1361.536,0.3497212905,0.00971371323866801
1370.239,0.5225963616,0.014515419375514553
1378.942,1.6179913919,0.04494065654704516
1387.645,0.7902741621,0.021950326729015767
1396.348,1.1019922679,0.030608479301634094
1405.051,0.4149934178,0.011526684722799123
1413.754,0.3957959811,0.010993464698491565
1422.4569999999999,0.5218846697,0.014495651717042864
1431.1599999999999,0.9346670456,0.02596092345882338
1439.863,3.5167724891,0.09768041126668013
1448.566,2.483169537,0.06897148518160924
1457.269,5.8139028876,0.16148455064565276
1465.972,36.0028427757,1.0
1474.675,12.3157022008,0.34207582655424207
1483.378,6.0127816418,0.16700852427848578
1492.081,2.052491084,0.05700913943899236
1500.7839999999999,0.857016187,0.02380412547807031
1509.4869999999999,0.488034204,0.013555435248279813
1518.19,0.3220389885,0.00894482112166318
1526.893,0.2299079741,0.006385828350620569
1535.596,0.1719990869,0.004777375163721521
1544.299,0.1341094619,0.00372496868470944
1553.002,0.1068470517,0.00296773930785588
1561.705,0.0876089258,0.0024333891172374686
1570.408,0.0731580255,0.002032006915558839
1579.1109999999999,0.0620221615,0.0017227017845896783
1587.8139999999999,0.0532564157,0.001479228071843961
1596.517,0.0443582407,0.0012320760606698382
1605.22,0.0388336483,0.0010786272779051392
1613.923,0.0342817411,0.0009521953950574799
1622.626,0.0099060892,0.00027514741715579423
1631.329,0.0054451205,0.000151241404294751
1640.032,0.0010097549,2.8046532499970546e-05
1648.735,0.0007127571,1.9797245024247725e-05
1657.4379999999999,0.000767289,2.1311900417982525e-05
1666.1409999999998,0.000882629,2.4515536328584793e-05
1674.844,0.0010260622,2.8499477288291723e-05
1683.547,0.0012075066,3.353920154369039e-05
1692.25,0.0014416746,4.004335460346074e-05
1700.953,0.0017511455,4.863908972160192e-05
1709.656,0.0021720065,6.0328749969321545e-05
1718.359,0.0027648387,7.679501080581666e-05
1727.062,0.0036377163,0.00010103969630018395
1735.7649999999999,0.0049989321,0.00013884826070940188
1744.4679999999998,0.0072928976,0.00020256449318280823
1753.171,0.0116105326,0.00032248932875479733
1761.874,0.0212451002,0.0005900950747794645
1770.577,0.0501437623,0.001392772304464923
1779.28,0.2106308399,0.005850394681671209
1787.983,0.6735705815,0.01870881657030217
1796.686,0.0984871619,0.002735538482713192
