peak_index,position_cm1,position_uncertainty_cm1,intensity,prominence,fwhm_cm1,area,snr
1791,2662.20268215424,0.09940732228888596,0.13830131182576086,0.015751462827677157,4.32064132521932,0.01788490268390198,13.978370090092524
1798,2669.33316378519,0.09211353084846717,0.14925237314217996,0.10416263515980126,26.607878442728552,0.6214207856724335,15.085214167992937
1815,2686.5761193229,0.177284124056246,0.07754875486356194,0.014428741804849085,8.990623938459791,0.030422733874900847,7.837996481728367
1839,2710.74175447939,0.11610042498524917,0.11841613051275103,0.07512013301836856,22.276739150170226,0.27493904232964034,11.9685379342556
1865,2736.68858453841,0.16893241854269936,0.08138262150177018,0.012057358330143944,4.4962865291567695,0.012861522809243168,8.225492493425282
1888,2759.44149151487,0.11367062950247409,0.12094736466063023,0.01877666688716005,6.667543261489227,0.026312419342764293,12.2243744641962
1901,2772.219309643,0.09930862520860154,0.13843876147475195,0.021600083947205598,5.5033521637598,0.02739391445086084,13.992262381040359
1913,2783.96159388779,0.08705228860657431,0.157929944148543,0.04388428704353864,8.12419015475318,0.07478356861530205,15.962272363672362
1935,2805.35856390227,0.0771682833188825,0.17815820809214575,0.08467742589846503,8.52304340009501,0.1558680642393043,18.006780517289783
1947,2816.95877824016,0.06905023636045692,0.19910378012134228,0.02918779439207031,6.80428608873635,0.0480315323729876,20.123788329490907
1963,2832.3483369012,0.06209507711527783,0.22140504072675576,0.1950814094334101,35.34541983577271,1.6382665479492597,22.377818100450785
