mode_index,frequency_cm1,reduced_mass_amu,force_constant_mdyne_A,ir_intensity_km_mol,raman_activity_A4_amu,depolar_ratio_p,depolar_ratio_u,laser_wavenumber_cm1,raman_intensity_raw,raman_intensity_norm
44,463.2477,2.5721,0.3252,16.2382,0.1523,0.3387,0.506,12740.151862610202,8362989256873.255,0.0013057538143912402
45,471.9585,2.9424,0.3862,0.2544,1.7728,0.4181,0.5896,12740.151862610202,94811788065274.55,0.014803421373970846
46,483.685,5.4414,0.75,47.5382,1.5492,0.7434,0.8528,12740.151862610202,80032913795093.28,0.012495924513941076
47,520.5975,5.2413,0.8369,3.397,2.0751,0.7493,0.8567,12740.151862610202,96712773186069.56,0.015100231341834794
48,523.7777,4.6061,0.7445,0.9213,13.6214,0.1442,0.252,12740.151862610202,629486197945388.5,0.09828471361460789
49,538.7459,4.2975,0.7349,0.7615,3.5693,0.5999,0.7499,12740.151862610202,158621603062034.94,0.024766355292502602
50,559.3095,3.9728,0.7322,11.899,0.4163,0.6394,0.78,12740.151862610202,17567392112245.45,0.0027428815887355776
51,587.4747,4.0417,0.8218,0.0468,0.8316,0.6508,0.7884,12740.151862610202,32801565783272.613,0.005121466538332841
52,625.9935,7.5495,1.743,15.3067,8.5691,0.4249,0.5964,12740.151862610202,309919045972965.2,0.04838915416507351
53,629.2511,5.355,1.2493,60.4183,4.5868,0.7165,0.8348,12740.151862610202,164723064527177.16,0.025719005874341245
54,648.4987,7.4962,1.8574,2.0194,1.8543,0.7427,0.8524,12740.151862610202,63920255550130.13,0.009980177534348614
55,669.9402,6.7823,1.7935,1.2712,7.102,0.5387,0.7002,12740.151862610202,234250587848824.97,0.036574673147595695
56,683.6717,7.4113,2.041,0.0653,1.4734,0.5933,0.7447,12740.151862610202,47281347774085.17,0.007382264679442258
57,707.7888,4.3372,1.2802,1.2852,0.1805,0.6819,0.8109,12740.151862610202,5526967885985.395,0.0008629521308080156
58,715.8428,4.8316,1.4587,9.698,1.4025,0.3124,0.4761,12740.151862610202,42293472502144.984,0.00660348367638275
59,722.7153,5.7129,1.7581,3.6872,3.741,0.0659,0.1237,12740.151862610202,111366176117178.38,0.017388137757041743
60,724.807,3.1412,0.9723,0.1446,3.4182,0.4098,0.5813,12740.151862610202,101360328354515.64,0.015825876527114046
61,749.3141,2.6599,0.8799,32.7492,0.5141,0.1149,0.2061,12740.151862610202,14575399546989.943,0.0022757273709417742
62,771.5349,4.3051,1.5099,1.6062,2.6742,0.7444,0.8534,12740.151862610202,72884340037234.39,0.011379783243747544
63,779.2284,3.8451,1.3756,0.3889,0.5839,0.7442,0.8533,12740.151862610202,15702215853850.227,0.0024516626311230326
64,784.5233,6.1039,2.2134,0.5694,18.6269,0.1753,0.2984,12740.151862610202,496354270727699.94,0.07749818424786468
65,799.9376,2.6314,0.9921,20.3247,0.9243,0.7158,0.8344,12740.151862610202,23991119714463.957,0.0037458491355745814
66,807.6513,1.3944,0.5359,1.7855,0.5982,0.4395,0.6106,12740.151862610202,15326827119324.5,0.0023930513789821046
67,819.6806,1.9571,0.7747,1.7756,1.7346,0.7445,0.8535,12740.151862610202,43563748323325.95,0.006801817961874366
68,821.7157,1.183,0.4706,1.814,0.8647,0.7419,0.8518,12740.151862610202,21643872995091.598,0.0033793621937650096
69,821.9099,1.1894,0.4734,19.1397,0.6367,0.7495,0.8568,12740.151862610202,15931826648464.754,0.002487512870993533
70,831.9406,4.1226,1.6811,1.6344,4.1261,0.3583,0.5276,12740.151862610202,101564893048120.1,0.015857816198535272
71,847.0392,1.4644,0.619,2.3246,0.5741,0.7494,0.8567,12740.151862610202,13791632000935.012,0.002153353966956329
72,847.9193,1.4856,0.6293,25.1835,1.0011,0.7454,0.8541,12740.151862610202,24015663781911.066,0.00374968131910434
73,867.2314,6.5928,2.9214,11.8119,11.4525,0.256,0.4077,12740.151862610202,266475577252051.44,0.04160611603715793
74,877.171,2.7353,1.24,13.1477,3.5235,0.7418,0.8518,12740.151862610202,80725903292981.98,0.012604124303801808
75,909.1287,1.4339,0.6983,0.965,1.6829,0.261,0.414,12740.151862610202,36724583599377.49,0.005733986215204808
76,912.0541,1.3844,0.6785,16.7219,0.5579,0.7379,0.8492,12740.151862610202,12121418548382.117,0.0018925754917566736
77,913.1656,1.3721,0.6741,0.214,0.7704,0.4295,0.601,12740.151862610202,16710610872997.807,0.00260910820497486
78,924.6164,2.2124,1.1144,0.5999,1.7543,0.54,0.7013,12740.151862610202,37410797445391.01,0.005841128089886019
79,933.38,1.9445,0.9981,0.0504,1.1382,0.7486,0.8562,12740.151862610202,23961606446382.63,0.003741241086802945
80,949.7671,3.9579,2.1035,0.8046,4.1898,0.681,0.8103,12740.151862610202,86129121129828.53,0.013447754743079327
81,973.0868,2.2446,1.2522,2.4361,0.8609,0.6995,0.8232,12740.151862610202,17118219781332.664,0.0026727501481234373
82,994.0995,1.3917,0.8103,0.6174,0.0803,0.6321,0.7745,12740.151862610202,1550430918416.7961,0.00024207625090621676
83,1022.2365,1.3327,0.8205,1.5621,0.174,0.7484,0.8561,12740.151862610202,3232508583735.3667,0.0005047071428192856
84,1023.6371,1.5443,0.9534,1.1922,19.0098,0.2634,0.4169,12740.151862610202,352488109307533.56,0.05503566716621024
85,1028.9276,2.9119,1.8163,35.0061,7.5771,0.2366,0.3826,12740.151862610202,139497895614380.72,0.021780478690478517
86,1036.1985,1.7774,1.1244,104.0792,6.8009,0.7382,0.8494,12740.151862610202,123990623775628.55,0.019359253607878917
87,1060.8503,3.1201,2.0688,2.3783,47.2908,0.0322,0.0623,12740.151862610202,834439679555534.0,0.13028508838075573
88,1062.2864,1.5117,1.0051,0.605,0.5064,0.6738,0.8051,12740.151862610202,8918520270356.645,0.0013924915486616025
89,1062.6027,1.504,1.0006,0.4515,0.4721,0.7371,0.8487,12740.151862610202,8310990835570.698,0.001297635050289955
90,1065.3949,2.6746,1.7887,32.9892,28.1909,0.4427,0.6138,12740.151862610202,494467726960649.9,0.07720362907815463
91,1067.996,2.7863,1.8725,17.4415,8.7177,0.6777,0.8079,12740.151862610202,152388768105443.8,0.0237931927343478
92,1104.7859,3.44,2.4738,24.7549,2.8708,0.7401,0.8507,12740.151862610202,47857612500288.734,0.007472239668196549
93,1129.811,2.5391,1.9096,8.1885,19.9635,0.4914,0.659,12740.151862610202,322460632471738.7,0.05034733250373777
94,1135.8488,2.2301,1.6952,10.1215,17.8503,0.0749,0.1393,12740.151862610202,286163004473023.6,0.04468000892398744
95,1145.0085,2.6487,2.046,20.0841,5.5063,0.7396,0.8503,12740.151862610202,87274902825836.28,0.013626651160863456
96,1147.5726,2.468,1.915,102.1774,4.1692,0.4074,0.5789,12740.151862610202,65872662474149.734,0.010285016236154578
97,1160.8478,2.953,2.3445,50.5623,1.1218,0.5247,0.6883,12740.151862610202,17437165703165.158,0.0027225487119174815
98,1163.7793,1.5015,1.1982,0.1237,0.0927,0.6895,0.8162,12740.151862610202,1435761806395.2246,0.00022417240984938823
99,1163.8476,1.5011,1.198,2.1393,0.5065,0.7499,0.8571,12740.151862610202,7844149326283.792,0.0012247448357094988
100,1174.441,1.5466,1.2569,3.4267,0.5035,0.7003,0.8238,12740.151862610202,7697706798886.398,0.0012018800581921675
101,1183.8817,3.0691,2.5344,1.2166,15.3815,0.7493,0.8567,12740.151862610202,232486540776614.88,0.03629924397716947
102,1192.0022,1.1119,0.9308,0.5295,8.5516,0.6079,0.7561,12740.151862610202,127997452482973.23,0.019984859083089553
103,1198.5306,2.0515,1.7363,0.513,61.3758,0.3499,0.5184,12740.151862610202,911493965178754.0,0.14231594532404554
104,1210.3606,6.4523,5.5692,73.344,20.1888,0.75,0.8571,12740.151862610202,295628030945379.6,0.04615782911961133
105,1215.0807,3.3174,2.8858,4.288,138.7973,0.0578,0.1093,12740.151862610202,2021091395422977.2,0.3155627393205036
106,1265.018,2.0033,1.8888,132.1171,11.1114,0.748,0.8558,12740.151862610202,152641921009489.62,0.023832718717214554
107,1271.0325,2.4059,2.29,225.9061,33.8443,0.0805,0.1491,12740.151862610202,461734234840461.5,0.07209279120888995
108,1289.5406,1.385,1.357,10.8252,7.5833,0.6804,0.8098,12740.151862610202,101297834888732.66,0.015816119121141822
109,1292.9052,1.6674,1.6422,18.9597,5.5144,0.6594,0.7948,12740.151862610202,73381081521436.36,0.011457341885501151
110,1298.8388,1.1012,1.0946,1.3475,4.5175,0.7145,0.8335,12740.151862610202,59713259072059.766,0.009323318900474829
111,1299.8055,2.2263,2.2161,156.8701,16.1593,0.3949,0.5662,12740.151862610202,213364133660954.6,0.033313570402245966
112,1306.4757,1.102,1.1083,0.1479,5.8425,0.7484,0.8561,12740.151862610202,76565913749879.72,0.011954605089213657
113,1306.5154,1.1022,1.1085,1.1649,9.8693,0.7497,0.8569,12740.151862610202,129331322451677.25,0.020193122629297715
114,1314.3598,3.0992,3.1545,31.2662,157.9748,0.2332,0.3782,12740.151862610202,2052029778722050.8,0.32039329819879725
115,1324.0601,4.4723,4.6195,3.1527,66.5085,0.2129,0.351,12740.151862610202,854612221404980.9,0.1334347245523237
116,1336.9303,3.1301,3.2963,1417.8085,16.4994,0.7495,0.8568,12740.151862610202,209004430372346.06,0.03263286891814015
117,1376.9426,2.6704,2.983,10.3643,185.4686,0.0997,0.1814,12740.151862610202,2248660673299832.5,0.3510942273445671
118,1389.924,1.6737,1.9051,19.7254,298.0628,0.2504,0.4005,12740.151862610202,3563412037205487.0,0.55637269365193
119,1391.328,2.1537,2.4564,89.6801,0.7106,0.6742,0.8054,12740.151862610202,8482551624161.3,0.0013244216629736956
120,1398.9382,1.2992,1.4981,8.1646,2.8348,0.5406,0.7018,12740.151862610202,33563744506096.77,0.005240469175309511
121,1402.709,1.8896,2.1905,35.056,2.7682,0.7373,0.8488,12740.151862610202,32642960231143.723,0.00509670268914988
122,1418.6935,1.3129,1.5569,0.2694,58.9823,0.3901,0.5612,12740.151862610202,683761667483771.0,0.10675900423017606
123,1419.7137,1.2711,1.5095,6.3157,14.3733,0.6801,0.8096,12740.151862610202,166444145465063.5,0.025987726535159284
124,1424.6768,1.2783,1.5287,8.1717,9.7765,0.4137,0.5853,12740.151862610202,112617839414226.83,0.017583565979445746
125,1425.3892,1.2922,1.5469,7.4899,0.7592,0.7353,0.8474,12740.151862610202,8738803215346.976,0.0013644314587963463
126,1426.2707,1.3746,1.6476,1.8659,3.984,0.7316,0.845,12740.151862610202,45815174973140.805,0.007153344054461619
127,1444.6598,3.7107,4.5628,168.0663,88.9299,0.6415,0.7816,12740.151862610202,1003022126713637.9,0.15660667826384553
128,1463.2219,2.1256,2.6813,45.3974,1.5077,0.6952,0.8202,12740.151862610202,16677886302696.238,0.0026039987601121314
129,1470.8469,2.2313,2.844,7.674,15.4551,0.6813,0.8105,12740.151862610202,169610267472413.7,0.02648206842188691
130,1486.2359,1.7203,2.2389,132.7753,32.0698,0.7495,0.8568,12740.151862610202,346383115948691.2,0.0540824651327878
131,1487.9705,1.042,1.3592,7.222,8.3412,0.7499,0.8571,12740.151862610202,89931505880138.86,0.014041439398051261
132,1488.0928,1.0424,1.36,8.9679,9.1277,0.7487,0.8563,12740.151862610202,98398826200430.75,0.015363482924151316
133,1488.7512,1.0399,1.358,6.4936,4.1926,0.681,0.8102,12740.151862610202,45166577192825.15,0.007052075357391751
134,1497.3667,1.055,1.3937,9.8655,5.2096,0.6941,0.8194,12740.151862610202,55627295500366.14,0.00868535771753803
135,1497.8455,1.0367,1.3704,10.4571,14.6614,0.7494,0.8567,12740.151862610202,156475175762942.38,0.024431223254541397
136,1497.9042,1.0367,1.3705,14.2318,13.2205,0.75,0.8571,12740.151862610202,141088529390862.7,0.022028832007354282
137,1501.7264,1.0632,1.4127,8.8783,17.379,0.7406,0.8509,12740.151862610202,184741877475848.34,0.028844639611802867
138,1501.7655,1.0522,1.3982,29.3551,8.4004,0.6853,0.8132,12740.151862610202,89294174399308.8,0.01394192976261301
139,1502.6848,1.5293,2.0346,93.7799,0.6598,0.7451,0.8539,12740.151862610202,7006904907037.249,0.0010940218298045876
140,1508.2283,1.4327,1.9201,8.4134,106.1469,0.4833,0.6517,12740.151862610202,1120873832194271.9,0.1750074329745344
141,1514.3304,1.9361,2.6159,12.8337,20.697,0.0985,0.1793,12740.151862610202,217195348081611.88,0.033911756372580974
142,1517.8374,1.158,1.5718,25.47,3.3815,0.7216,0.8383,12740.151862610202,35359020513018.055,0.005520774269806187
143,1519.7104,1.349,1.8356,427.4859,1.1697,0.7223,0.8388,12740.151862610202,12207794291471.807,0.0019060617527748313
144,1523.205,1.1351,1.5517,0.2708,16.1247,0.5049,0.671,12740.151862610202,167691465703940.7,0.026182476654961567
145,1528.7528,3.5244,4.853,66.9793,619.3364,0.2074,0.3435,12740.151862610202,6404721291794343.0,1.0
146,1531.4747,2.2605,3.1237,363.6238,3.4946,0.39,0.5611,12740.151862610202,36039038282635.914,0.005626948721220504
147,1556.8725,6.465,9.2327,352.123,93.1194,0.75,0.8571,12740.151862610202,936054181853972.8,0.14615065031061303
148,1580.6308,4.3013,6.3316,85.377,44.2794,0.0981,0.1787,12740.151862610202,434675323283777.6,0.06786795294912813
149,1585.4909,2.8586,4.2338,461.5824,6.1879,0.75,0.8571,12740.151862610202,60452129300871.016,0.009438682269956322
150,1595.6755,3.4559,5.1845,207.9168,97.5822,0.6372,0.7784,12740.151862610202,943759549633128.1,0.1473537265145733
151,1605.3092,6.0618,9.2039,3.78,25.2573,0.1452,0.2536,12740.151862610202,241964856741831.44,0.03777913912535649
152,1632.4611,5.5164,8.6615,12.4808,104.2445,0.6723,0.804,12740.151862610202,972456311466799.9,0.15183429023097383
153,1647.0336,5.9289,9.4761,1059.2528,86.9938,0.75,0.8571,12740.151862610202,800117738211787.5,0.12492623827939076
154,1684.8735,6.9958,11.701,256.6488,47.4618,0.1861,0.3138,12740.151862610202,420904430831415.4,0.06571783714783552
155,1769.0749,12.376,22.8204,302.657,66.1096,0.0537,0.102,12740.151862610202,541502567200343.6,0.08454740534831869
156,3011.1334,1.0572,5.6477,4.9914,102.0405,0.3642,0.5339,12740.151862610202,303611980245572.44,0.047404401598951186
157,3011.404,1.0572,5.6485,33.5071,315.9243,0.0268,0.0522,12740.151862610202,939814222931362.8,0.14673772364387536
158,3012.7056,1.0411,5.5674,28.9066,383.1492,0.1332,0.2352,12740.151862610202,1138693392054212.2,0.17778968672892814
159,3013.024,1.0411,5.5687,17.4663,562.1648,0.1252,0.2225,12740.151862610202,1670320329484015.8,0.2607951624099571
160,3035.1947,1.0369,5.6278,19.7025,172.5045,0.0322,0.0624,12740.151862610202,504183412812497.44,0.0787205859306402
161,3035.3509,1.0368,5.6282,14.6434,222.7545,0.0255,0.0498,12740.151862610202,650974987194662.9,0.10163986183578116
162,3037.7806,1.0352,5.6286,9.7715,134.5158,0.0459,0.0877,12740.151862610202,392399673298054.5,0.06126725198812204
163,3039.6124,1.1068,6.0247,9.7245,44.2919,0.7491,0.8566,12740.151862610202,129029743911926.22,0.020146035718562442
164,3039.7993,1.1067,6.025,12.8352,58.4055,0.7498,0.857,12740.151862610202,170121458365658.38,0.026561883119506868
165,3057.7775,1.1005,6.0624,8.6789,116.5336,0.7497,0.857,12740.151862610202,334944563647404.4,0.05229650883896097
166,3058.3156,1.1005,6.0647,8.4697,111.4364,0.7486,0.8562,12740.151862610202,320166491866091.9,0.049989137275385516
167,3062.1113,1.0584,5.8473,10.9518,84.3009,0.0639,0.1202,12740.151862610202,241524480742900.5,0.037710381098446696
168,3094.5174,1.1056,6.2378,1.1889,61.831,0.7377,0.849,12740.151862610202,172956417815553.12,0.02700451900024798
169,3100.1707,1.1038,6.2507,20.3457,73.2131,0.7495,0.8568,12740.151862610202,203942654639066.75,0.03184254947992129
170,3100.3903,1.1038,6.2516,23.1605,63.0106,0.7494,0.8568,12740.151862610202,175494112429590.03,0.027400741489630644
171,3106.5771,1.1006,6.2579,22.0914,85.9719,0.4295,0.6009,12740.151862610202,238355079162817.72,0.037215527156223886
172,3117.0151,1.1001,6.2973,3.1539,109.1731,0.659,0.7944,12740.151862610202,300360968151036.75,0.046896805413821185
173,3117.046,1.1001,6.2975,20.7367,191.9773,0.4537,0.6242,12740.151862610202,528162848340994.94,0.08246461075795308
174,3119.4344,1.1073,6.3484,22.7226,6.401,0.6896,0.8163,12740.151862610202,17579314611689.35,0.0027447431060289495
175,3120.6889,1.0963,6.2904,5.743,58.7529,0.7183,0.836,12740.151862610202,161206394298413.9,0.025169931204492804
176,3121.6365,1.0963,6.2942,5.1175,56.5437,0.7223,0.8388,12740.151862610202,155036583733476.38,0.024206608948324965
177,3172.8994,1.0876,6.4509,1.0151,33.4261,0.7261,0.8413,12740.151862610202,88262950323075.98,0.013780919778063954
178,3184.4903,1.0905,6.5158,3.5166,82.9237,0.7216,0.8383,12740.151862610202,217111022346299.53,0.0338985901891562
179,3194.3945,1.0906,6.557,3.2944,35.5159,0.3938,0.5651,12740.151862610202,92315776548456.92,0.014413707067430219
180,3195.131,1.0944,6.5824,2.7446,169.2692,0.2745,0.4308,12740.151862610202,439740927462102.94,0.06865887014092152
181,3195.7223,1.0908,6.5634,3.159,90.5759,0.2451,0.3937,12740.151862610202,235203413814625.2,0.03672344245735801
182,3206.0839,1.0953,6.6334,3.1937,239.8927,0.1424,0.2493,12740.151862610202,618237303029803.8,0.09652836944238033
183,3220.8393,1.0909,6.6676,1.5879,41.661,0.323,0.4883,12740.151862610202,106214316422137.6,0.01658375307575338
184,3221.2391,1.091,6.67,0.3044,142.665,0.1639,0.2817,12740.151862610202,363616801705478.56,0.05677324354009601
185,3631.3332,1.0768,8.3664,336.2034,65.9531,0.5889,0.7413,12740.151862610202,125030897605329.03,0.01952167657404815
186,3632.0322,1.077,8.3707,9.3655,634.4647,0.2088,0.3455,12740.151862610202,1202188849615158.8,0.1877035385061001
