sigma,gamma,rmse,cosine_similarity,correlation,aic,bic
2.5555555555555554,15.0,0.25045032888927404,0.6093320959545632,0.166933189123246,-1934.2925323804354,-1925.1903717103487
4.111111111111111,1.0,0.28468852663053484,0.38720543835180393,0.056950520329078665,-1754.9034195149604,-1745.8012588448737
4.111111111111111,2.5555555555555554,0.2779675778759316,0.4353616333283479,0.07609110757398804,-1788.3511178138308,-1779.248957143744
4.111111111111111,4.111111111111111,0.2717642579985739,0.47438873706140483,0.09397312060709424,-1819.948401829571,-1810.8462411594842
4.111111111111111,5.666666666666667,0.26628442601438373,0.506205716226469,0.11013256343612554,-1848.4663790254065,-1839.3642183553197
4.111111111111111,7.222222222222222,0.26163799005521526,0.5323990992637184,0.12440571263965956,-1873.1108272268389,-1864.0086665567521
4.111111111111111,8.777777777777779,0.25786346573669994,0.5541717938563722,0.13679138952253422,-1893.4550513919733,-1884.3528907218865
4.111111111111111,10.333333333333334,0.25495176219353094,0.5724216322211771,0.14737434902745924,-1909.353287421401,-1900.2511267513144
4.111111111111111,11.88888888888889,0.2528645140198355,0.5878263925079615,0.15628366637338897,-1920.8620319650358,-1911.759871294949
4.111111111111111,13.444444444444445,0.25154659132795704,0.600908102643077,0.16366938702943032,-1928.1778739348592,-1919.0757132647725
4.111111111111111,15.0,0.2509341069955711,0.6120771023918279,0.1696887169295317,-1931.5908547433676,-1922.4886940732808
5.666666666666667,1.0,0.2796315118127662,0.42399037981114773,0.07087524786846007,-1779.9956004919966,-1770.8934398219099
5.666666666666667,2.5555555555555554,0.2739179369212141,0.4617649352488492,0.0886183383646478,-1808.8974048370849,-1799.7952441669981
5.666666666666667,4.111111111111111,0.2687043677583561,0.4936873142964534,0.10498976790440896,-1835.800911682266,-1826.6987510121792
5.666666666666667,5.666666666666667,0.2641166168938248,0.5206477909336678,0.11971132514539932,-1859.910359796323,-1850.8081991262363
5.666666666666667,7.222222222222222,0.2602296071171032,0.5434581618265647,0.13268071845803847,-1880.6673067281363,-1871.5651460580495
5.666666666666667,8.777777777777779,0.2570772506874048,0.5628096226141862,0.14390707004670117,-1897.7301140902732,-1888.6279534201865
5.666666666666667,10.333333333333334,0.2546623058802197,0.5792767009864198,0.15346756546184898,-1910.9436629922561,-1901.8415023221694
5.666666666666667,11.88888888888889,0.2529648277830513,0.5933342205142247,0.16147892061549013,-1920.306748754921,-1911.2045880848343
5.666666666666667,13.444444444444445,0.2519489384465715,0.6053750868061119,0.16807849099331412,-1925.9403720995906,-1916.8382114295039
5.666666666666667,15.0,0.2515681031420581,0.6157254547582243,0.173411670158299,-1928.0581535605954,-1918.9559928905087
7.222222222222222,1.0,0.27553968941263324,0.45400814003288564,0.08630590993601986,-1800.633036586134,-1791.5308759160473
7.222222222222222,2.5555555555555554,0.2706051659368788,0.48515014145435537,0.10266330273976573,-1825.9322618525857,-1816.830101182499
7.222222222222222,4.111111111111111,0.26615511189361335,0.512055815944989,0.1175319034659671,-1849.146417826993,-1840.0442571569063
7.222222222222222,5.666666666666667,0.26227412687413326,0.535221945147485,0.13076670537095403,-1869.7110509843267,-1860.60889031424
7.222222222222222,7.222222222222222,0.2590161747342552,0.5551355826642951,0.14233162693662502,-1887.2106759296155,-1878.1085152595288
7.222222222222222,8.777777777777779,0.25640835372261656,0.5722464505159068,0.15226554313361607,-1901.3775631028993,-1892.2754024328126
7.222222222222222,10.333333333333334,0.25445522469956405,0.5869568406173722,0.1606563033737578,-1912.0825499937534,-1902.9803893236667
7.222222222222222,11.88888888888889,0.25314318757506976,0.599619991534389,0.1676213199194758,-1919.3199881758123,-1910.2178275057256
7.222222222222222,13.444444444444445,0.2523911118684196,0.6105424031861183,0.17329335972306206,-1923.48550876358,-1914.3833480934932
7.222222222222222,15.0,0.25220116506566015,0.619987861987879,0.1778104104301444,-1924.5395301926828,-1915.437369522596
8.777777777777779,1.0,0.2721071677613833,0.4801217797258991,0.10313802369711178,-1818.1830076249519,-1809.0808469548651
8.777777777777779,2.5555555555555554,0.2677933110697005,0.5064949406024658,0.1179386260839657,-1840.555752720735,-1831.4535920506482
8.777777777777779,4.111111111111111,0.263960698294104,0.5295340321144293,0.1311831733099346,-1860.7370798226304,-1851.6349191525437
8.777777777777779,5.666666666666667,0.26067002687361335,0.5495706697079616,0.14281843574436945,-1878.2999109159462,-1869.1977502458594
8.777777777777779,7.222222222222222,0.25795973844166525,0.566946607392171,0.1528632919360725,-1892.9324623055395,-1883.8303016354528
8.777777777777779,8.777777777777779,0.2558418046122714,0.581992627333388,0.16138744331825766,-1904.4743667445928,-1895.372206074506
8.777777777777779,10.333333333333334,0.25427389286227803,0.5950165263380043,0.16849379116797994,-1913.0805844061272,-1903.9784237360404
8.777777777777779,11.88888888888889,0.2532894317486262,0.6062971826948872,0.17430448745433755,-1918.5114231629834,-1909.4092624928967
8.777777777777779,13.444444444444445,0.25286398059240395,0.6160825583707674,0.17895036527078478,-1920.8649853220727,-1911.762824651986
8.777777777777779,15.0,0.2529642144833902,0.6245901371274764,0.18256329074725028,-1920.3101429839687,-1911.207982313882
