exp_index,exp_position_cm1,exp_intensity,dft_mode_index,dft_frequency_scaled_cm1,dft_frequency_unscaled_cm1,dft_raman_intensity_norm,match_cost_cm1,matching_confidence,matched,unmatched_reason
17,863.602848087439,0.16692590479840871,74,848.224357,877.171,0.012604124303801808,15.378491087438988,0.009411751660417744,False,"nearest DFT mode is 15.4 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
18,919.89438103718,0.2771800626121035,80,918.4247857,949.7671,0.013447754743079327,1.4695953371799533,0.9151303973941382,True,
19,960.83845813291,0.14672682398875322,82,961.2942165,994.0995,0.00024207625090621676,0.4557583670899703,0.9770555113608441,True,
20,986.846112778716,0.1859367970569041,83,988.5026955,1022.2365,0.0005047071428192856,1.6565827212839395,0.44981629977113213,True,
21,1007.86524591866,0.2255608286254939,86,1002.0039495,1036.1985,0.019359253607878917,5.861296418660004,0.5453630387163755,True,
22,1059.18023894933,0.15672148926403465,92,1068.3279653,1104.7859,0.007472239668196549,9.147726350669927,0.6538637304514975,True,
23,1086.19797765355,0.27648606906241735,93,1092.5272369999998,1129.811,0.05034733250373777,6.329259346449817,0.4798358674259098,True,
24,1116.19637152644,0.15585352864360355,97,1122.5398226,1160.8478,0.0027225487119174815,6.343451073559891,0.02313272998581173,True,
25,1183.32466693502,0.35895359592667303,105,1174.9830369,1215.0807,0.3155627393205036,8.341630035020216,0.35366096889237475,True,
26,1261.59182949048,0.17684452237968026,112,1263.3620019,1306.4757,0.011954605089213657,1.7701724095200007,0.021226749997929728,True,
27,1311.46832297584,0.4603873827268141,116,1292.8116000999999,1336.9303,0.03263286891814015,18.65672287584016,0.06880142589735228,False,"nearest DFT mode is 18.7 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
28,1362.23615418665,0.5831193470669623,121,1356.419603,1402.709,0.00509670268914988,5.816551186650031,0.38533197035063893,True,
29,1437.22686027369,0.12838968258691846,130,1437.1901153,1486.2359,0.0540824651327878,0.03674497369001983,0.9776029029263259,True,
30,1509.41924419338,0.6323773073075188,147,1505.4957075,1556.8725,0.14615065031061303,3.923536693380129,0.7940480624066091,True,
31,1537.93404069926,0.11257620013765193,149,1533.1697003,1585.4909,0.009438682269956322,4.764340399260163,0.06290653928320455,True,
32,1601.34726416366,0.24893176831289132,153,1592.6814912,1647.0336,0.12492623827939076,8.665772963659947,0.6192104369174714,True,
33,1647.20313045424,0.25852303922600633,154,1629.2726744999998,1684.8735,0.06571783714783552,17.930455954240188,0.6711313856388537,False,"nearest DFT mode is 17.9 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
34,1699.33884618262,0.14279158254531163,152,1578.5898837,1632.4611,0.15183429023097383,120.74896248262007,-0.7233560730216337,False,"nearest DFT mode is 120.7 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
35,1752.11368785288,0.20555018295398395,155,1710.6954283,1769.0749,0.08454740534831869,41.418259552880045,0.6628303656703032,False,"nearest DFT mode is 41.4 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
36,1796.19773078738,0.1989885041119786,151,1552.3339964,1605.3092,0.03777913912535649,243.86373438737996,-0.4609174908261904,False,"nearest DFT mode is 243.9 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
37,1826.61691136911,0.09658909604049407,150,1543.0182085,1595.6755,0.1473537265145733,283.5987028691102,-0.4370761840752848,False,"nearest DFT mode is 283.6 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
38,1848.94058153519,0.15177387435025416,148,1528.4699836,1580.6308,0.06786795294912813,320.47059793518997,-0.4588867452715861,False,"nearest DFT mode is 320.5 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
39,1867.22332231854,0.10743929381245525,146,1480.9360348999999,1531.4747,0.005626948721220504,386.28728741854025,-0.623392459570526,False,"nearest DFT mode is 386.3 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
40,1891.8899703765,0.11768410611176505,145,1478.3039575999999,1528.7528,1.0,413.5860127765002,-0.5748620493411645,False,"nearest DFT mode is 413.6 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
41,1943.27662633014,0.17098061714606438,144,1472.9392349999998,1523.205,0.026182476654961567,470.33739133014024,-0.4978709299320161,False,"nearest DFT mode is 470.3 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
42,1991.42013266146,0.15452418094432446,143,1469.5599567999998,1519.7104,0.0019060617527748313,521.8601758614602,-0.44101570810637436,False,"nearest DFT mode is 521.9 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
43,2006.48848267219,0.12445072002103501,142,1467.7487657999998,1517.8374,0.005520774269806187,538.7397168721902,-0.428200264147647,False,"nearest DFT mode is 538.7 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
44,2032.70370774798,0.1288474770243944,141,1464.3574968,1514.3304,0.033911756372580974,568.3462109479799,-0.40878158621632354,False,"nearest DFT mode is 568.3 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
45,2045.11845524934,0.1148344819488195,140,1458.4567660999999,1508.2283,0.1750074329745344,586.6616891493402,-0.4107674438639135,False,"nearest DFT mode is 586.7 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
46,2064.89040660486,0.10968291670048062,139,1453.0962015999999,1502.6848,0.0010940218298045876,611.79420500486,-0.4044290668534849,False,"nearest DFT mode is 611.8 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
47,2084.55014977306,0.11317858804471967,138,1452.2072385,1501.7655,0.01394192976261301,632.3429112730603,-0.38891762851610845,False,"nearest DFT mode is 632.3 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
48,2125.95755814338,0.14279533351903637,137,1452.1694287999999,1501.7264,0.028844639611802867,673.7881293433802,-0.3565706377067033,False,"nearest DFT mode is 673.8 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
49,2157.28608402706,0.11563546091929093,136,1448.4733614,1497.9042,0.022028832007354282,708.8127226270601,-0.34241424524036446,False,"nearest DFT mode is 708.8 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
50,2172.8421298611,0.13801285813893757,135,1448.4165985,1497.8455,0.024431223254541397,724.4255313611002,-0.3327193502435759,False,"nearest DFT mode is 724.4 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
51,2182.37942694984,0.12156803847325819,134,1447.9535989,1497.3667,0.00868535771753803,734.4258280498398,-0.3278193129931877,False,"nearest DFT mode is 734.4 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
52,2212.00936670456,0.15191619831206024,133,1439.6224103999998,1488.7512,0.007052075357391751,772.38695630456,-0.3254476106224429,False,"nearest DFT mode is 772.4 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
53,2228.48755434226,0.10135155150706768,132,1438.9857375999998,1488.0928,0.015363482924151316,789.5018167422602,-0.3175604333291788,False,"nearest DFT mode is 789.5 cm-1 away, exceeding the 15 cm-1 assignment threshold (no calculated mode close enough in frequency)"
