fwhm_cm1,rmse,cosine_similarity,correlation,aic,bic
38.0,0.2607742466859686,0.5655893019447367,0.17934656543803984,-1879.7402816453275,-1875.189201310284
39.0,0.26020203815179416,0.5699846307194263,0.18332470488558797,-1882.8156318802273,-1878.2645515451838
40.0,0.2596765258709793,0.5741951152608781,0.18710559553322773,-1885.6459753282472,-1881.0948949932038
41.0,0.25919973052934325,0.5782223042454759,0.19068381680824012,-1888.2188957806072,-1883.6678154455637
42.0,0.2587733752849754,0.5820684636765573,0.1940556209991889,-1890.5236389042177,-1885.9725585691742
43.0,0.25839888653430504,0.5857365075930009,0.19721882019972015,-1892.5511426250378,-1888.0000622899943
44.0,0.2580774006525458,0.5892299214044304,0.20017265973733192,-1894.2940311322461,-1889.7429507972026
45.0,0.25780977527463733,0.5925526822021101,0.20291768384398823,-1895.746579596973,-1891.1954992619296
46.0,0.2575966038796394,0.5957091794238897,0.20545559835781432,-1896.9046559502544,-1892.353575615211
47.0,0.2574382326388698,0.598704138379003,0.20778913429982954,-1897.7656452594997,-1893.2145649244562
48.0,0.25733477867365867,0.6015425483862983,0.2099219152940359,-1898.3283614472666,-1893.7772811122231
49.0,0.2572861490352727,0.6042295966553667,0.2118583310218148,-1898.5929503525258,-1894.0418700174823
50.0,0.2572920598641921,0.6067706085408476,0.2136034182358929,-1898.560787465157,-1894.0097071301136
51.0,0.25735205530823085,0.6091709944153151,0.21516275030699014,-1898.2343730768123,-1893.6832927417688
52.0,0.2574655258804842,0.6114362031208344,0.2165423358316891,-1897.6172270836223,-1893.0661467485788
53.0,0.25763172602127116,0.6135716817571029,0.217748526482263,-1896.713785241068,-1892.1627049060246
54.0,0.257849790695899,0.6155828414288826,0.21878793401511742,-1895.5292982990948,-1890.9782179640513
55.0,0.2581187509149414,0.6174750284924475,0.21966735616057637,-1894.069735126544,-1889.5186547915005
56.0,0.258437548108162,0.6192535007972437,0.2203937109800901,-1892.3416906596856,-1887.790610324642
57.0,0.25880504731919235,0.6209234084043882,0.220973979186059,-1890.352299273265,-1885.8012189382216
58.0,0.2592200492171442,0.6224897782696472,0.22141515386445332,-1888.1091539688662,-1883.5580736338227
59.0,0.2596813009446546,0.6239575023986216,0.22172419701304139,-1885.6202316008962,-1881.0691512658527
60.0,0.26018750584034595,0.6253313290111796,0.22190800230163665,-1882.893824212366,-1878.3427438773226
